,index,nltk_function,num_np_calls,np_calls,np_calls_w_args
11,3272,/tag/hmm.py__best_path_simple,2,"['zeros', 'float64']","['zeros((T, N), np.float64)']"
12,3278,/tag/hmm.py__exhaustive_point_entropy,2,"['zeros', 'float64']","['zeros(T, np.float64)']"
13,3279,/tag/hmm.py__transitions_matrix,2,"['fromiter', 'float64']","['fromiter(trans_iter, dtype=np.float64)']"
14,3280,/tag/hmm.py__outputs_vector,2,"['fromiter', 'float64']","['fromiter(out_iter, dtype=np.float64)']"
15,3294,/tag/hmm.py_logsumexp2,2,"['log2', 'sum']",['log2(np.sum(2 ** (arr - max_)))']
16,3295,/tag/hmm.py__log_add,2,"['inf', 'log2']",['log2(sum_diffs)']
17,1931,/metrics/aline.py_align,2,"['zeros', 'amax']","['zeros((m + 1, n + 1), dtype=float)', 'amax(S)']"
18,5636,/test/unit/translate/test_bleu.py_test_numpy_weights,1,['array'],['array([0.25] * 4)']
19,3282,/tag/hmm.py__backward_probability,1,['log2'],['log2(1)']
20,1936,/metrics/aline.py_delta,1,['dot'],[]
21,3948,/corpus/reader/verbnet.py_frames,0,[],[]
22,3933,/corpus/reader/chunked.py__read_block,0,[],[]
23,3931,/corpus/reader/chunked.py_chunked_sents,0,[],[]
24,3930,/corpus/reader/chunked.py_chunked_words,0,[],[]
25,3954,/corpus/reader/verbnet.py_longid,0,[],[]
26,3955,/corpus/reader/verbnet.py_shortid,0,[],[]
27,3929,/corpus/reader/chunked.py_tagged_paras,0,[],[]
28,3956,/corpus/reader/verbnet.py__get_semantics_within_frame,0,[],[]
29,3928,/corpus/reader/chunked.py_tagged_sents,0,[],[]
30,3927,/corpus/reader/chunked.py_tagged_words,0,[],[]
31,3926,/corpus/reader/chunked.py_paras,0,[],[]
32,3957,/corpus/reader/verbnet.py__get_example_within_frame,0,[],[]
33,3925,/corpus/reader/chunked.py_sents,0,[],[]
34,3958,/corpus/reader/verbnet.py__get_description_within_frame,0,[],[]
35,3924,/corpus/reader/chunked.py_words,0,[],[]
36,3923,/corpus/reader/chunked.py___init__,0,[],[]
37,3959,/corpus/reader/verbnet.py__get_syntactic_list_within_frame,0,[],[]
38,3932,/corpus/reader/chunked.py_chunked_paras,0,[],[]
39,3935,/corpus/reader/chunked.py_read_block,0,[],[]
40,3934,/corpus/reader/chunked.py___init__,0,[],[]
41,3947,/corpus/reader/verbnet.py_fileids,0,[],[]
42,3946,/corpus/reader/verbnet.py_vnclass,0,[],[]
43,3945,/corpus/reader/verbnet.py_classids,0,[],[]
44,3944,/corpus/reader/verbnet.py_wordnetids,0,[],[]
45,3943,/corpus/reader/verbnet.py_lemmas,0,[],[]
46,3942,/corpus/reader/verbnet.py___init__,0,[],[]
47,3941,/corpus/reader/opinion_lexicon.py__read_word_block,0,[],[]
48,3949,/corpus/reader/verbnet.py_subclasses,0,[],[]
49,3950,/corpus/reader/verbnet.py_themroles,0,[],[]
50,3940,/corpus/reader/opinion_lexicon.py_negative,0,[],[]
51,3939,/corpus/reader/opinion_lexicon.py_positive,0,[],[]
52,3938,/corpus/reader/opinion_lexicon.py_words,0,[],[]
53,3922,/corpus/reader/dependency.py_read_block,0,[],[]
54,3951,/corpus/reader/verbnet.py__index,0,[],[]
55,3937,/corpus/reader/opinion_lexicon.py___init__,0,[],[]
56,3952,/corpus/reader/verbnet.py__index_helper,0,[],[]
57,3953,/corpus/reader/verbnet.py__quick_index,0,[],[]
58,3936,/corpus/reader/chunked.py__untag,0,[],[]
59,0,/text.py__default_context,0,[],[]
60,3917,/corpus/reader/dependency.py_tagged_words,0,[],[]
61,3921,/corpus/reader/dependency.py___init__,0,[],[]
62,3890,/corpus/reader/ycoe.py___init__,0,[],[]
63,3898,/corpus/reader/ycoe.py_tagged_sents,0,[],[]
64,3897,/corpus/reader/ycoe.py_tagged_words,0,[],[]
65,3896,/corpus/reader/ycoe.py_paras,0,[],[]
66,3895,/corpus/reader/ycoe.py_sents,0,[],[]
67,3894,/corpus/reader/ycoe.py_words,0,[],[]
68,3893,/corpus/reader/ycoe.py__getfileids,0,[],[]
69,3892,/corpus/reader/ycoe.py_fileids,0,[],[]
70,3891,/corpus/reader/ycoe.py_documents,0,[],[]
71,3889,/corpus/reader/knbc.py_test,0,[],[]
72,3920,/corpus/reader/dependency.py_parsed_sents,0,[],[]
73,3888,/corpus/reader/knbc.py_demo,0,[],[]
74,3887,/corpus/reader/knbc.py__parse,0,[],[]
75,3886,/corpus/reader/knbc.py__tag,0,[],[]
76,3885,/corpus/reader/knbc.py__word,0,[],[]
77,3884,/corpus/reader/knbc.py__read_block,0,[],[]
78,3883,/corpus/reader/knbc.py___init__,0,[],[]
79,3882,/corpus/reader/tagged.py_tagged_paras,0,[],[]
80,3881,/corpus/reader/tagged.py_paras,0,[],[]
81,3899,/corpus/reader/ycoe.py_tagged_paras,0,[],[]
82,3900,/corpus/reader/ycoe.py_parsed_sents,0,[],[]
83,3901,/corpus/reader/ycoe.py__parse,0,[],[]
84,3902,/corpus/reader/ycoe.py___init__,0,[],[]
85,3919,/corpus/reader/dependency.py_tagged_sents,0,[],[]
86,3918,/corpus/reader/dependency.py_sents,0,[],[]
87,3961,/corpus/reader/verbnet.py_pprint_subclasses,0,[],[]
88,3916,/corpus/reader/dependency.py_words,0,[],[]
89,3915,/corpus/reader/dependency.py___init__,0,[],[]
90,3914,/corpus/reader/comparative_sents.py__read_word_block,0,[],[]
91,3913,/corpus/reader/comparative_sents.py__read_sent_block,0,[],[]
92,3912,/corpus/reader/comparative_sents.py__read_keyword_block,0,[],[]
93,3911,/corpus/reader/comparative_sents.py__read_comparison_block,0,[],[]
94,3910,/corpus/reader/comparative_sents.py_words,0,[],[]
95,3909,/corpus/reader/comparative_sents.py_sents,0,[],[]
96,3908,/corpus/reader/comparative_sents.py_keywords_readme,0,[],[]
97,3907,/corpus/reader/comparative_sents.py_keywords,0,[],[]
98,3906,/corpus/reader/comparative_sents.py_comparisons,0,[],[]
99,3905,/corpus/reader/comparative_sents.py___init__,0,[],[]
100,3904,/corpus/reader/comparative_sents.py___repr__,0,[],[]
101,3903,/corpus/reader/comparative_sents.py___init__,0,[],[]
102,3960,/corpus/reader/verbnet.py_pprint,0,[],[]
103,3970,/corpus/reader/cmudict.py_entries,0,[],[]
104,3962,/corpus/reader/verbnet.py_pprint_members,0,[],[]
105,4017,/corpus/reader/framenet.py___repr__,0,[],[]
106,4025,/corpus/reader/framenet.py_help,0,[],[]
107,4024,/corpus/reader/framenet.py___init__,0,[],[]
108,4023,/corpus/reader/framenet.py_warnings,0,[],[]
109,4022,/corpus/reader/framenet.py___radd__,0,[],[]
110,4021,/corpus/reader/framenet.py___add__,0,[],[]
111,4020,/corpus/reader/framenet.py___repr__,0,[],[]
112,4019,/corpus/reader/framenet.py___repr__,0,[],[]
113,4018,/corpus/reader/framenet.py___repr__,0,[],[]
114,4016,/corpus/reader/framenet.py___init__,0,[],[]
115,4027,/corpus/reader/framenet.py__buildcorpusindex,0,[],[]
116,4015,/corpus/reader/framenet.py___repr__,0,[],[]
117,4014,/corpus/reader/framenet.py___init__,0,[],[]
118,4013,/corpus/reader/framenet.py___repr__,0,[],[]
119,4012,/corpus/reader/framenet.py___str__,0,[],[]
120,4011,/corpus/reader/framenet.py___getattr__,0,[],[]
121,4010,/corpus/reader/framenet.py___getitem__,0,[],[]
122,4009,/corpus/reader/framenet.py___setitem__,0,[],[]
123,4008,/corpus/reader/framenet.py___len__,0,[],[]
124,4026,/corpus/reader/framenet.py__buildframeindex,0,[],[]
125,4028,/corpus/reader/framenet.py__buildluindex,0,[],[]
126,4006,/corpus/reader/framenet.py__data,0,[],[]
127,4039,/corpus/reader/framenet.py_propagate_semtypes,0,[],[]
128,4047,/corpus/reader/framenet.py_docs_metadata,0,[],[]
129,4046,/corpus/reader/framenet.py_lu_ids_and_names,0,[],[]
130,4045,/corpus/reader/framenet.py_lus,0,[],[]
131,4044,/corpus/reader/framenet.py_fes,0,[],[]
132,4043,/corpus/reader/framenet.py_frame_ids_and_names,0,[],[]
133,4042,/corpus/reader/framenet.py_frames,0,[],[]
134,4041,/corpus/reader/framenet.py_semtype_inherits,0,[],[]
135,4040,/corpus/reader/framenet.py_semtype,0,[],[]
136,4038,/corpus/reader/framenet.py__loadsemtypes,0,[],[]
137,4029,/corpus/reader/framenet.py__warn,0,[],[]
138,4037,/corpus/reader/framenet.py__lu_file,0,[],[]
139,4036,/corpus/reader/framenet.py_lu,0,[],[]
140,4035,/corpus/reader/framenet.py_lu_basic,0,[],[]
141,4034,/corpus/reader/framenet.py_frames_by_lemma,0,[],[]
142,4033,/corpus/reader/framenet.py_frame,0,[],[]
143,4032,/corpus/reader/framenet.py_frame_by_id,0,[],[]
144,4031,/corpus/reader/framenet.py_doc,0,[],[]
145,4030,/corpus/reader/framenet.py_buildindexes,0,[],[]
146,4007,/corpus/reader/framenet.py___nonzero__,0,[],[]
147,4005,/corpus/reader/framenet.py___init__,0,[],[]
148,3963,/corpus/reader/verbnet.py_pprint_themroles,0,[],[]
149,3973,/corpus/reader/cmudict.py_read_cmudict_block,0,[],[]
150,3981,/corpus/reader/framenet.py__pretty_fe_relation,0,[],[]
151,3980,/corpus/reader/framenet.py__pretty_frame_relation,0,[],[]
152,3979,/corpus/reader/framenet.py__pretty_frame_relation_type,0,[],[]
153,3978,/corpus/reader/framenet.py__pretty_semtype,0,[],[]
154,3977,/corpus/reader/framenet.py__pretty_any,0,[],[]
155,3976,/corpus/reader/framenet.py__pretty_longstring,0,[],[]
156,3975,/corpus/reader/framenet.py__,0,[],[]
157,3974,/corpus/reader/framenet.py_mimic_wrap,0,[],[]
158,3972,/corpus/reader/cmudict.py_dict,0,[],[]
159,3983,/corpus/reader/framenet.py__pretty_exemplars,0,[],[]
160,3971,/corpus/reader/cmudict.py_words,0,[],[]
161,3879,/corpus/reader/tagged.py__read_block,0,[],[]
162,3969,/corpus/reader/verbnet.py__pprint_semantics_within_frame,0,[],[]
163,3968,/corpus/reader/verbnet.py__pprint_syntax_within_frame,0,[],[]
164,3967,/corpus/reader/verbnet.py__pprint_description_within_frame,0,[],[]
165,3966,/corpus/reader/verbnet.py__pprint_example_within_frame,0,[],[]
166,3965,/corpus/reader/verbnet.py__pprint_single_frame,0,[],[]
167,3964,/corpus/reader/verbnet.py_pprint_frames,0,[],[]
168,3982,/corpus/reader/framenet.py__pretty_lu,0,[],[]
169,3984,/corpus/reader/framenet.py__pretty_fulltext_sentences,0,[],[]
170,4004,/corpus/reader/framenet.py___repr__,0,[],[]
171,3995,/corpus/reader/framenet.py___getattr__,0,[],[]
172,4003,/corpus/reader/framenet.py___str__,0,[],[]
173,4002,/corpus/reader/framenet.py__str,0,[],[]
174,4001,/corpus/reader/framenet.py___init__,0,[],[]
175,4000,/corpus/reader/framenet.py___repr__,0,[],[]
176,3999,/corpus/reader/framenet.py___str__,0,[],[]
177,3998,/corpus/reader/framenet.py__str,0,[],[]
178,3997,/corpus/reader/framenet.py__short_repr,0,[],[]
179,3996,/corpus/reader/framenet.py___getitem__,0,[],[]
180,3994,/corpus/reader/framenet.py___setattr__,0,[],[]
181,3985,/corpus/reader/framenet.py__pretty_fulltext_sentence,0,[],[]
182,3993,/corpus/reader/framenet.py___init__,0,[],[]
183,3992,/corpus/reader/framenet.py__pretty_fe,0,[],[]
184,3991,/corpus/reader/framenet.py__annotation_ascii_FEs,0,[],[]
185,3990,/corpus/reader/framenet.py__annotation_ascii_FE_layer,0,[],[]
186,3989,/corpus/reader/framenet.py__annotation_ascii_frames,0,[],[]
187,3988,/corpus/reader/framenet.py__annotation_ascii,0,[],[]
188,3987,/corpus/reader/framenet.py__pretty_annotation,0,[],[]
189,3986,/corpus/reader/framenet.py__pretty_pos,0,[],[]
190,3880,/corpus/reader/tagged.py___init__,0,[],[]
191,3878,/corpus/reader/tagged.py___init__,0,[],[]
192,4049,/corpus/reader/framenet.py_annotations,0,[],[]
193,3748,/stem/porter.py__step1c,0,[],[]
194,3757,/stem/util.py_suffix_replace,0,[],[]
195,3756,/stem/porter.py_demo,0,[],[]
196,3755,/stem/porter.py___repr__,0,[],[]
197,3754,/stem/porter.py_stem,0,[],[]
198,3753,/stem/porter.py__step5a,0,[],[]
199,3752,/stem/porter.py__step4,0,[],[]
200,3751,/stem/porter.py__step3,0,[],[]
201,3750,/stem/porter.py_original_condition,0,[],[]
202,3749,/stem/porter.py_nltk_condition,0,[],[]
203,3747,/stem/porter.py__step1a,0,[],[]
204,3759,/stem/snowball.py___init__,0,[],[]
205,3746,/stem/porter.py__apply_rule_list,0,[],[]
206,3745,/stem/porter.py__replace_suffix,0,[],[]
207,3744,/stem/porter.py__ends_cvc,0,[],[]
208,3743,/stem/porter.py__ends_double_consonant,0,[],[]
209,3742,/stem/porter.py__contains_vowel,0,[],[]
210,3741,/stem/porter.py__has_positive_measure,0,[],[]
211,3740,/stem/porter.py__measure,0,[],[]
212,3739,/stem/porter.py__is_consonant,0,[],[]
213,3738,/stem/porter.py___init__,0,[],[]
214,3758,/stem/util.py_prefix_replace,0,[],[]
215,3760,/stem/snowball.py_stem,0,[],[]
216,3783,/stem/snowball.py___Prefix_Step1,0,[],[]
217,3772,/stem/snowball.py___Suffix_Verb_Step2a,0,[],[]
218,3781,/stem/snowball.py___Suffix_Noun_Step3,0,[],[]
219,3780,/stem/snowball.py___Suffix_Noun_Step1b,0,[],[]
220,3779,/stem/snowball.py___Suffix_Noun_Step2c1,0,[],[]
221,3778,/stem/snowball.py___Suffix_Noun_Step2b,0,[],[]
222,3777,/stem/snowball.py___Suffix_Noun_Step2a,0,[],[]
223,3776,/stem/snowball.py___Suffix_Noun_Step1a,0,[],[]
224,3775,/stem/snowball.py___Suffix_Noun_Step2c2,0,[],[]
225,3774,/stem/snowball.py___Suffix_Verb_Step2b,0,[],[]
226,3773,/stem/snowball.py___Suffix_Verb_Step2c,0,[],[]
227,3771,/stem/snowball.py___Suffix_Verb_Step1,0,[],[]
228,3761,/stem/snowball.py___init__,0,[],[]
229,3770,/stem/snowball.py___checks_2,0,[],[]
230,3769,/stem/snowball.py___checks_1,0,[],[]
231,3768,/stem/snowball.py___normalize_post,0,[],[]
232,3767,/stem/snowball.py___normalize_pre,0,[],[]
233,3766,/stem/snowball.py__rv_standard,0,[],[]
234,3765,/stem/snowball.py__r1r2_standard,0,[],[]
235,3764,/stem/snowball.py__r1_scandinavian,0,[],[]
236,3763,/stem/snowball.py___init__,0,[],[]
237,3762,/stem/snowball.py___repr__,0,[],[]
238,3737,/stem/lancaster.py___repr__,0,[],[]
239,3736,/stem/lancaster.py___stripPrefix,0,[],[]
240,3735,/stem/lancaster.py___applyRule,0,[],[]
241,3701,/stem/isri.py_pro_w6,0,[],[]
242,3710,/stem/arlstem.py_suff,0,[],[]
243,3709,/stem/arlstem.py_pref,0,[],[]
244,3708,/stem/arlstem.py_norm,0,[],[]
245,3707,/stem/arlstem.py_stem,0,[],[]
246,3706,/stem/arlstem.py___init__,0,[],[]
247,3705,/stem/isri.py_pre1,0,[],[]
248,3704,/stem/isri.py_suf1,0,[],[]
249,3703,/stem/isri.py_end_w6,0,[],[]
250,3702,/stem/isri.py_pro_w64,0,[],[]
251,3700,/stem/isri.py_end_w5,0,[],[]
252,3734,/stem/lancaster.py___isAcceptable,0,[],[]
253,3699,/stem/isri.py_pro_w54,0,[],[]
254,3698,/stem/isri.py_pro_w53,0,[],[]
255,3697,/stem/isri.py_pro_w4,0,[],[]
256,3696,/stem/isri.py_waw,0,[],[]
257,3695,/stem/isri.py_suf32,0,[],[]
258,3694,/stem/isri.py_pre32,0,[],[]
259,3693,/stem/isri.py_norm,0,[],[]
260,3692,/stem/isri.py_stem,0,[],[]
261,3691,/stem/isri.py___init__,0,[],[]
262,3711,/stem/arlstem.py_fem2masc,0,[],[]
263,3712,/stem/arlstem.py_plur2sing,0,[],[]
264,3713,/stem/arlstem.py_verb,0,[],[]
265,3714,/stem/arlstem.py_verb_t1,0,[],[]
266,3733,/stem/lancaster.py___getLastLetter,0,[],[]
267,3732,/stem/lancaster.py___doStemming,0,[],[]
268,3731,/stem/lancaster.py_stem,0,[],[]
269,3730,/stem/lancaster.py_parseRules,0,[],[]
270,3729,/stem/lancaster.py___init__,0,[],[]
271,3728,/stem/regexp.py___repr__,0,[],[]
272,3727,/stem/regexp.py_stem,0,[],[]
273,3726,/stem/regexp.py___init__,0,[],[]
274,3725,/stem/cistem.py__segment_inner,0,[],[]
275,3724,/stem/cistem.py_segment,0,[],[]
276,3723,/stem/cistem.py_stem,0,[],[]
277,3722,/stem/cistem.py_replace_back,0,[],[]
278,3721,/stem/cistem.py_replace_to,0,[],[]
279,3720,/stem/cistem.py___init__,0,[],[]
280,3719,/stem/arlstem.py_verb_t6,0,[],[]
281,3718,/stem/arlstem.py_verb_t5,0,[],[]
282,3717,/stem/arlstem.py_verb_t4,0,[],[]
283,3716,/stem/arlstem.py_verb_t3,0,[],[]
284,3715,/stem/arlstem.py_verb_t2,0,[],[]
285,3782,/stem/snowball.py___Suffix_All_alef_maqsura,0,[],[]
286,3784,/stem/snowball.py___Prefix_Step2a,0,[],[]
287,3877,/corpus/reader/tagged.py_read_block,0,[],[]
288,3843,/misc/sort.py_demo,0,[],[]
289,3852,/misc/wordfinder.py_step,0,[],[]
290,3851,/misc/wordfinder.py_revword,0,[],[]
291,3850,/misc/minimalset.py_targets,0,[],[]
292,3849,/misc/minimalset.py_display_all,0,[],[]
293,3848,/misc/minimalset.py_display,0,[],[]
294,3847,/misc/minimalset.py_contexts,0,[],[]
295,3846,/misc/minimalset.py_add,0,[],[]
296,3845,/misc/minimalset.py___init__,0,[],[]
297,3844,/misc/chomsky.py_generate_chomsky,0,[],[]
298,3842,/misc/sort.py_quick,0,[],[]
299,3854,/misc/wordfinder.py_word_finder,0,[],[]
300,3841,/misc/sort.py__quick,0,[],[]
301,3840,/misc/sort.py__partition,0,[],[]
302,3839,/misc/sort.py_merge,0,[],[]
303,3838,/misc/sort.py__merge_lists,0,[],[]
304,3837,/misc/sort.py_bubble,0,[],[]
305,3836,/misc/sort.py_selection,0,[],[]
306,3835,/misc/babelfish.py_babelize_shell,0,[],[]
307,3834,/stem/wordnet.py___repr__,0,[],[]
308,3833,/stem/wordnet.py_lemmatize,0,[],[]
309,3853,/misc/wordfinder.py_wordfinder,0,[],[]
310,3855,/corpus/__init__.py_demo,0,[],[]
311,3785,/stem/snowball.py___Prefix_Step2b,0,[],[]
312,3867,/corpus/reader/tagged.py_sents,0,[],[]
313,3876,/corpus/reader/tagged.py___init__,0,[],[]
314,3875,/corpus/reader/tagged.py_tagged_paras,0,[],[]
315,3874,/corpus/reader/tagged.py_tagged_sents,0,[],[]
316,3873,/corpus/reader/tagged.py_tagged_words,0,[],[]
317,3872,/corpus/reader/tagged.py___init__,0,[],[]
318,3871,/corpus/reader/tagged.py_tagged_paras,0,[],[]
319,3870,/corpus/reader/tagged.py_tagged_sents,0,[],[]
320,3869,/corpus/reader/tagged.py_tagged_words,0,[],[]
321,3868,/corpus/reader/tagged.py_paras,0,[],[]
322,3866,/corpus/reader/tagged.py_words,0,[],[]
323,3856,/corpus/util.py___init__,0,[],[]
324,3865,/corpus/reader/tagged.py___init__,0,[],[]
325,3864,/corpus/util.py_meth,0,[],[]
326,3863,/corpus/util.py_Foo,0,[],[]
327,3862,/corpus/util.py__make_bound_method,0,[],[]
328,3861,/corpus/util.py__unload,0,[],[]
329,3860,/corpus/util.py___repr__,0,[],[]
330,3859,/corpus/util.py___getattr__,0,[],[]
331,3858,/corpus/util.py__unload,0,[],[]
332,3857,/corpus/util.py___load,0,[],[]
333,3832,/stem/rslp.py_apply_rule,0,[],[]
334,3831,/stem/rslp.py_stem,0,[],[]
335,3830,/stem/rslp.py_read_rule,0,[],[]
336,3796,/stem/snowball.py___rv_french,0,[],[]
337,3805,/stem/snowball.py___regions_russian,0,[],[]
338,3804,/stem/snowball.py_stem,0,[],[]
339,3803,/stem/snowball.py_stem,0,[],[]
340,3802,/stem/snowball.py_stem,0,[],[]
341,3801,/stem/snowball.py_stem,0,[],[]
342,3800,/stem/snowball.py_stem,0,[],[]
343,3799,/stem/snowball.py___r1_hungarian,0,[],[]
344,3798,/stem/snowball.py_stem,0,[],[]
345,3797,/stem/snowball.py_stem,0,[],[]
346,3795,/stem/snowball.py_stem,0,[],[]
347,3829,/stem/rslp.py___init__,0,[],[]
348,3794,/stem/snowball.py_stem,0,[],[]
349,3793,/stem/snowball.py_stem,0,[],[]
350,3792,/stem/snowball.py_stem,0,[],[]
351,3791,/stem/snowball.py_stem,0,[],[]
352,3790,/stem/snowball.py_stem,0,[],[]
353,3789,/stem/snowball.py___Prefix_Step4_Verb,0,[],[]
354,3788,/stem/snowball.py___Prefix_Step3_Verb,0,[],[]
355,3787,/stem/snowball.py___Prefix_Step3b_Noun,0,[],[]
356,3786,/stem/snowball.py___Prefix_Step3a_Noun,0,[],[]
357,3806,/stem/snowball.py___cyrillic_to_roman,0,[],[]
358,3807,/stem/snowball.py___roman_to_cyrillic,0,[],[]
359,3808,/stem/snowball.py_stem,0,[],[]
360,3809,/stem/snowball.py___replace_accented,0,[],[]
361,3828,/stem/arlstem2.py_verb_t6,0,[],[]
362,3827,/stem/arlstem2.py_verb_t5,0,[],[]
363,3826,/stem/arlstem2.py_verb_t4,0,[],[]
364,3825,/stem/arlstem2.py_verb_t3,0,[],[]
365,3824,/stem/arlstem2.py_verb_t2,0,[],[]
366,3823,/stem/arlstem2.py_verb_t1,0,[],[]
367,3822,/stem/arlstem2.py_verb,0,[],[]
368,3821,/stem/arlstem2.py_plur2sing,0,[],[]
369,3820,/stem/arlstem2.py_fem2masc,0,[],[]
370,3819,/stem/arlstem2.py_suff,0,[],[]
371,3818,/stem/arlstem2.py_adjective,0,[],[]
372,3817,/stem/arlstem2.py_pref,0,[],[]
373,3816,/stem/arlstem2.py_norm,0,[],[]
374,3815,/stem/arlstem2.py_stem,0,[],[]
375,3814,/stem/arlstem2.py_stem1,0,[],[]
376,3813,/stem/arlstem2.py___init__,0,[],[]
377,3812,/stem/api.py_stem,0,[],[]
378,3811,/stem/snowball.py_demo,0,[],[]
379,3810,/stem/snowball.py_stem,0,[],[]
380,4048,/corpus/reader/framenet.py_sents,0,[],[]
381,4059,/corpus/reader/framenet.py__handle_fulltextindex_elt,0,[],[]
382,4050,/corpus/reader/framenet.py_exemplars,0,[],[]
383,4299,/corpus/reader/conll.py_tagged_words,0,[],[]
384,4297,/corpus/reader/conll.py_words,0,[],[]
385,4296,/corpus/reader/conll.py___init__,0,[],[]
386,4295,/corpus/reader/ipipan.py__append_space,0,[],[]
387,4294,/corpus/reader/ipipan.py__seek,0,[],[]
388,4293,/corpus/reader/ipipan.py__read_data,0,[],[]
389,4292,/corpus/reader/ipipan.py_read_block,0,[],[]
390,4291,/corpus/reader/ipipan.py___init__,0,[],[]
391,4290,/corpus/reader/ipipan.py__view,0,[],[]
392,4289,/corpus/reader/ipipan.py__map_category,0,[],[]
393,4288,/corpus/reader/ipipan.py__get_tag,0,[],[]
394,4287,/corpus/reader/ipipan.py__list_morph_files_by,0,[],[]
395,4286,/corpus/reader/ipipan.py__parse_header,0,[],[]
396,4285,/corpus/reader/ipipan.py__list_header_files,0,[],[]
397,4284,/corpus/reader/ipipan.py__list_morph_files,0,[],[]
398,4283,/corpus/reader/ipipan.py_tagged_words,0,[],[]
399,4282,/corpus/reader/ipipan.py_tagged_paras,0,[],[]
400,4281,/corpus/reader/ipipan.py_tagged_sents,0,[],[]
401,4280,/corpus/reader/ipipan.py_words,0,[],[]
402,4279,/corpus/reader/ipipan.py_paras,0,[],[]
403,4298,/corpus/reader/conll.py_sents,0,[],[]
404,4300,/corpus/reader/conll.py_get_tagged_words,0,[],[]
405,4322,/corpus/reader/conll.py__get_parsed_sent,0,[],[]
406,4301,/corpus/reader/conll.py_tagged_sents,0,[],[]
407,4320,/corpus/reader/conll.py__get_iob_words,0,[],[]
408,4319,/corpus/reader/conll.py__get_tagged_words,0,[],[]
409,4318,/corpus/reader/conll.py__get_words,0,[],[]
410,4317,/corpus/reader/conll.py__read_grid_block,0,[],[]
411,4316,/corpus/reader/conll.py__grids,0,[],[]
412,4315,/corpus/reader/conll.py_get_iob_words,0,[],[]
413,4314,/corpus/reader/conll.py_iob_sents,0,[],[]
414,4313,/corpus/reader/conll.py_get_iob_words,0,[],[]
415,4312,/corpus/reader/conll.py_iob_words,0,[],[]
416,4311,/corpus/reader/conll.py_get_srl_instances,0,[],[]
417,4310,/corpus/reader/conll.py_srl_instances,0,[],[]
418,4309,/corpus/reader/conll.py_srl_spans,0,[],[]
419,4308,/corpus/reader/conll.py_get_parsed_sent,0,[],[]
420,4307,/corpus/reader/conll.py_parsed_sents,0,[],[]
421,4306,/corpus/reader/conll.py_get_chunked_words,0,[],[]
422,4305,/corpus/reader/conll.py_chunked_sents,0,[],[]
423,4304,/corpus/reader/conll.py_get_chunked_words,0,[],[]
424,4303,/corpus/reader/conll.py_chunked_words,0,[],[]
425,4302,/corpus/reader/conll.py_get_tagged_words,0,[],[]
426,4278,/corpus/reader/ipipan.py_sents,0,[],[]
427,4277,/corpus/reader/ipipan.py_fileids,0,[],[]
428,4276,/corpus/reader/ipipan.py_categories,0,[],[]
