nltk_function,coverage,np_calls_count,partial_ak_coverage_sum,np_calls_array,function_ak_array
/app/chartparser_app.py_app,1.0,0,0,[],[]
/app/chartparser_app.py_apply,1.0,0,0,[],[]
/app/chartparser_app.py_apply_strategy,1.0,0,0,[],[]
/app/chartparser_app.py_bottom_up,1.0,0,0,[],[]
/app/chartparser_app.py_bottom_up_leftcorner,1.0,0,0,[],[]
/app/chartparser_app.py_bottom_up_leftcorner_strategy,1.0,0,0,[],[]
/app/chartparser_app.py_bottom_up_strategy,1.0,0,0,[],[]
/app/chartparser_app.py_cb,1.0,0,0,[],[]
/app/chartparser_app.py_clear,1.0,0,0,[],[]
/app/chartparser_app.py_cycle_tree,1.0,0,0,[],[]
/app/chartparser_app.py_deselect_cell,1.0,0,0,[],[]
/app/chartparser_app.py_destroy,1.0,0,0,[],[]
/app/chartparser_app.py_destroy1,1.0,0,0,[],[]
/app/chartparser_app.py_destroy2,1.0,0,0,[],[]
/app/chartparser_app.py_draw,1.0,0,0,[],[]
/app/chartparser_app.py_draw_tree,1.0,0,0,[],[]
/app/chartparser_app.py_edit_grammar,1.0,0,0,[],[]
/app/chartparser_app.py_edit_sentence,1.0,0,0,[],[]
/app/chartparser_app.py_erase_tree,1.0,0,0,[],[]
/app/chartparser_app.py_fundamental,1.0,0,0,[],[]
/app/chartparser_app.py_get_font_size,1.0,0,0,[],[]
/app/chartparser_app.py_help,1.0,0,0,[],[]
/app/chartparser_app.py_inactivate,1.0,0,0,[],[]
/app/chartparser_app.py_load_chart,1.0,0,0,[],[]
/app/chartparser_app.py_load_chart_dialog,1.0,0,0,[],[]
/app/chartparser_app.py_load_grammar,1.0,0,0,[],[]
/app/chartparser_app.py_mainloop,1.0,0,0,[],[]
/app/chartparser_app.py_mark_edge,1.0,0,0,[],[]
/app/chartparser_app.py_markonly_edge,1.0,0,0,[],[]
/app/chartparser_app.py_pack,1.0,0,0,[],[]
/app/chartparser_app.py_page_down,1.0,0,0,[],[]
/app/chartparser_app.py_page_up,1.0,0,0,[],[]
/app/chartparser_app.py_print_all,1.0,0,0,[],[]
/app/chartparser_app.py_print_selection,1.0,0,0,[],[]
/app/chartparser_app.py_remove_callback,1.0,0,0,[],[]
/app/chartparser_app.py_reset,1.0,0,0,[],[]
/app/chartparser_app.py_resize,1.0,0,0,[],[]
/app/chartparser_app.py_save_chart,1.0,0,0,[],[]
/app/chartparser_app.py_save_chart_dialog,1.0,0,0,[],[]
/app/chartparser_app.py_save_grammar,1.0,0,0,[],[]
/app/chartparser_app.py_scroll_down,1.0,0,0,[],[]
/app/chartparser_app.py_scroll_up,1.0,0,0,[],[]
/app/chartparser_app.py_select_cell,1.0,0,0,[],[]
/app/chartparser_app.py_select_edge,1.0,0,0,[],[]
/app/chartparser_app.py_set_chart,1.0,0,0,[],[]
/app/chartparser_app.py_set_font_size,1.0,0,0,[],[]
/app/chartparser_app.py_set_grammar,1.0,0,0,[],[]
/app/chartparser_app.py_set_sentence,1.0,0,0,[],[]
/app/chartparser_app.py_top_down_init,1.0,0,0,[],[]
/app/chartparser_app.py_top_down_predict,1.0,0,0,[],[]
/app/chartparser_app.py_top_down_strategy,1.0,0,0,[],[]
/app/chartparser_app.py_unmark_edge,1.0,0,0,[],[]
/app/chartparser_app.py_update,1.0,0,0,[],[]
/app/chartparser_app.py_view_edge,1.0,0,0,[],[]
/app/chartparser_app.py_view_matrix,1.0,0,0,[],[]
/app/chartparser_app.py_view_results,1.0,0,0,[],[]
/app/chunkparser_app.py___init__,1.0,0,0,[],[]
/app/chunkparser_app.py__adaptively_modify_eval_chunk,1.0,0,0,[],[]
/app/chunkparser_app.py__chunkparse,1.0,0,0,[],[]
/app/chunkparser_app.py__chunks,1.0,0,0,[],[]
/app/chunkparser_app.py__color_chunk,1.0,0,0,[],[]
/app/chunkparser_app.py__devset_next,1.0,0,0,[],[]
/app/chunkparser_app.py__devset_prev,1.0,0,0,[],[]
/app/chunkparser_app.py__devset_scroll,1.0,0,0,[],[]
/app/chunkparser_app.py__eval_demon,1.0,0,0,[],[]
/app/chunkparser_app.py__eval_plot,1.0,0,0,[],[]
/app/chunkparser_app.py__grammarcheck,1.0,0,0,[],[]
/app/chunkparser_app.py__highlight_devset,1.0,0,0,[],[]
/app/chunkparser_app.py__history_next,1.0,0,0,[],[]
/app/chunkparser_app.py__history_prev,1.0,0,0,[],[]
/app/chunkparser_app.py__init_fonts,1.0,0,0,[],[]
/app/chunkparser_app.py__init_menubar,1.0,0,0,[],[]
/app/chunkparser_app.py__syntax_highlight_grammar,1.0,0,0,[],[]
/app/chunkparser_app.py__view_history,1.0,0,0,[],[]
/app/chunkparser_app.py_about,1.0,0,0,[],[]
/app/chunkparser_app.py_app,1.0,0,0,[],[]
/app/chunkparser_app.py_destroy,1.0,0,0,[],[]
/app/chunkparser_app.py_load_grammar,1.0,0,0,[],[]
/app/chunkparser_app.py_mainloop,1.0,0,0,[],[]
/app/chunkparser_app.py_normalize_grammar,1.0,0,0,[],[]
/app/chunkparser_app.py_reset,1.0,0,0,[],[]
/app/chunkparser_app.py_resize,1.0,0,0,[],[]
/app/chunkparser_app.py_save_grammar,1.0,0,0,[],[]
/app/chunkparser_app.py_save_history,1.0,0,0,[],[]
/app/chunkparser_app.py_set_devset_size,1.0,0,0,[],[]
/app/chunkparser_app.py_show_devset,1.0,0,0,[],[]
/app/chunkparser_app.py_show_trace,1.0,0,0,[],[]
/app/chunkparser_app.py_toggle_show_trace,1.0,0,0,[],[]
/app/chunkparser_app.py_update,1.0,0,0,[],[]
/app/collocations_app.py_LoadCorpus,1.0,0,0,[],[]
/app/collocations_app.py___init__,1.0,0,0,[],[]
/app/collocations_app.py___next__,1.0,0,0,[],[]
/app/collocations_app.py__init_corpus_select,1.0,0,0,[],[]
/app/collocations_app.py__init_menubar,1.0,0,0,[],[]
/app/collocations_app.py__init_paging,1.0,0,0,[],[]
/app/collocations_app.py__init_results_box,1.0,0,0,[],[]
/app/collocations_app.py__init_status,1.0,0,0,[],[]
/app/collocations_app.py__init_top,1.0,0,0,[],[]
/app/collocations_app.py__init_widgets,1.0,0,0,[],[]
/app/collocations_app.py__poll,1.0,0,0,[],[]
/app/collocations_app.py_app,1.0,0,0,[],[]
/app/collocations_app.py_clear_results_box,1.0,0,0,[],[]
/app/collocations_app.py_corpus_selected,1.0,0,0,[],[]
/app/collocations_app.py_destroy,1.0,0,0,[],[]
/app/collocations_app.py_fire_event,1.0,0,0,[],[]
/app/collocations_app.py_freeze_editable,1.0,0,0,[],[]
/app/collocations_app.py_handle_corpus_loaded,1.0,0,0,[],[]
/app/collocations_app.py_handle_error_loading_corpus,1.0,0,0,[],[]
/app/collocations_app.py_is_last_page,1.0,0,0,[],[]
/app/collocations_app.py_load_corpus,1.0,0,0,[],[]
/app/collocations_app.py_mainloop,1.0,0,0,[],[]
/app/collocations_app.py_next,1.0,0,0,[],[]
/app/collocations_app.py_non_default_corpora,1.0,0,0,[],[]
/app/collocations_app.py_prev,1.0,0,0,[],[]
/app/collocations_app.py_previous,1.0,0,0,[],[]
/app/collocations_app.py_reset_current_page,1.0,0,0,[],[]
/app/collocations_app.py_reset_results,1.0,0,0,[],[]
/app/collocations_app.py_run,1.0,0,0,[],[]
/app/collocations_app.py_set_paging_button_states,1.0,0,0,[],[]
/app/collocations_app.py_set_result_size,1.0,0,0,[],[]
/app/collocations_app.py_unfreeze_editable,1.0,0,0,[],[]
/app/collocations_app.py_write_results,1.0,0,0,[],[]
/app/concordance_app.py_LoadCorpus,1.0,0,0,[],[]
/app/concordance_app.py_SearchCorpus,1.0,0,0,[],[]
/app/concordance_app.py___init__,1.0,0,0,[],[]
/app/concordance_app.py___next__,1.0,0,0,[],[]
/app/concordance_app.py__bind_event_handlers,1.0,0,0,[],[]
/app/concordance_app.py__init_corpus_select,1.0,0,0,[],[]
/app/concordance_app.py__init_menubar,1.0,0,0,[],[]
/app/concordance_app.py__init_paging,1.0,0,0,[],[]
/app/concordance_app.py__init_query_box,1.0,0,0,[],[]
/app/concordance_app.py__init_results_box,1.0,0,0,[],[]
/app/concordance_app.py__init_status,1.0,0,0,[],[]
/app/concordance_app.py__init_top,1.0,0,0,[],[]
/app/concordance_app.py__init_widgets,1.0,0,0,[],[]
/app/concordance_app.py__poll,1.0,0,0,[],[]
/app/concordance_app.py_about,1.0,0,0,[],[]
/app/concordance_app.py_app,1.0,0,0,[],[]
/app/concordance_app.py_clear_all,1.0,0,0,[],[]
/app/concordance_app.py_clear_results_box,1.0,0,0,[],[]
/app/concordance_app.py_corpus_selected,1.0,0,0,[],[]
/app/concordance_app.py_destroy,1.0,0,0,[],[]
/app/concordance_app.py_fire_event,1.0,0,0,[],[]
/app/concordance_app.py_freeze_editable,1.0,0,0,[],[]
/app/concordance_app.py_get_results,1.0,0,0,[],[]
/app/concordance_app.py_handle_corpus_loaded,1.0,0,0,[],[]
/app/concordance_app.py_handle_error_loading_corpus,1.0,0,0,[],[]
/app/concordance_app.py_handle_search_error,1.0,0,0,[],[]
/app/concordance_app.py_handle_search_terminated,1.0,0,0,[],[]
/app/concordance_app.py_has_more_pages,1.0,0,0,[],[]
/app/concordance_app.py_load_corpus,1.0,0,0,[],[]
/app/concordance_app.py_mainloop,1.0,0,0,[],[]
/app/concordance_app.py_next,1.0,0,0,[],[]
/app/concordance_app.py_non_default_corpora,1.0,0,0,[],[]
/app/concordance_app.py_pad,1.0,0,0,[],[]
/app/concordance_app.py_prev,1.0,0,0,[],[]
/app/concordance_app.py_previous,1.0,0,0,[],[]
/app/concordance_app.py_processed_query,1.0,0,0,[],[]
/app/concordance_app.py_reset_query,1.0,0,0,[],[]
/app/concordance_app.py_reset_results,1.0,0,0,[],[]
/app/concordance_app.py_run,1.0,0,0,[],[]
/app/concordance_app.py_search,1.0,0,0,[],[]
/app/concordance_app.py_search_enter_keypress_handler,1.0,0,0,[],[]
/app/concordance_app.py_set_cntx_af_len,1.0,0,0,[],[]
/app/concordance_app.py_set_cntx_bf_len,1.0,0,0,[],[]
/app/concordance_app.py_set_paging_button_states,1.0,0,0,[],[]
/app/concordance_app.py_set_result_size,1.0,0,0,[],[]
/app/concordance_app.py_set_results,1.0,0,0,[],[]
/app/concordance_app.py_unfreeze_editable,1.0,0,0,[],[]
/app/concordance_app.py_words_and_labels,1.0,0,0,[],[]
/app/concordance_app.py_write_results,1.0,0,0,[],[]
/app/nemo_app.py___init__,1.0,0,0,[],[]
/app/nemo_app.py_addTags,1.0,0,0,[],[]
/app/nemo_app.py_app,1.0,0,0,[],[]
/app/nemo_app.py_initScrollText,1.0,0,0,[],[]
/app/nemo_app.py_launchRefresh,1.0,0,0,[],[]
/app/nemo_app.py_refresh,1.0,0,0,[],[]
/app/nemo_app.py_substitute,1.0,0,0,[],[]
/app/rdparser_app.py___init__,1.0,0,0,[],[]
/app/rdparser_app.py__animate_backtrack,1.0,0,0,[],[]
/app/rdparser_app.py__animate_backtrack_frame,1.0,0,0,[],[]
/app/rdparser_app.py__animate_expand,1.0,0,0,[],[]
/app/rdparser_app.py__animate_expand_frame,1.0,0,0,[],[]
/app/rdparser_app.py__animate_match,1.0,0,0,[],[]
/app/rdparser_app.py__animate_match_backtrack,1.0,0,0,[],[]
/app/rdparser_app.py__animate_match_backtrack_frame,1.0,0,0,[],[]
/app/rdparser_app.py__animate_match_frame,1.0,0,0,[],[]
/app/rdparser_app.py__backtrack,1.0,0,0,[],[]
/app/rdparser_app.py__configure,1.0,0,0,[],[]
/app/rdparser_app.py__expand,1.0,0,0,[],[]
/app/rdparser_app.py__get,1.0,0,0,[],[]
/app/rdparser_app.py__highlight_nodes,1.0,0,0,[],[]
/app/rdparser_app.py__highlight_prodlist,1.0,0,0,[],[]
/app/rdparser_app.py__init_bindings,1.0,0,0,[],[]
/app/rdparser_app.py__init_buttons,1.0,0,0,[],[]
/app/rdparser_app.py__init_canvas,1.0,0,0,[],[]
/app/rdparser_app.py__init_feedback,1.0,0,0,[],[]
/app/rdparser_app.py__init_fonts,1.0,0,0,[],[]
/app/rdparser_app.py__init_grammar,1.0,0,0,[],[]
/app/rdparser_app.py__init_menubar,1.0,0,0,[],[]
/app/rdparser_app.py__makeroom,1.0,0,0,[],[]
/app/rdparser_app.py__match,1.0,0,0,[],[]
/app/rdparser_app.py__position_text,1.0,0,0,[],[]
/app/rdparser_app.py__prodlist_select,1.0,0,0,[],[]
/app/rdparser_app.py__redraw,1.0,0,0,[],[]
/app/rdparser_app.py__redraw_quick,1.0,0,0,[],[]
/app/rdparser_app.py__step,1.0,0,0,[],[]
/app/rdparser_app.py__toggle_grammar,1.0,0,0,[],[]
/app/rdparser_app.py__tree_leaves,1.0,0,0,[],[]
/app/rdparser_app.py_about,1.0,0,0,[],[]
/app/rdparser_app.py_app,1.0,0,0,[],[]
/app/rdparser_app.py_autostep,1.0,0,0,[],[]
/app/rdparser_app.py_backtrack,1.0,0,0,[],[]
/app/rdparser_app.py_cancel_autostep,1.0,0,0,[],[]
/app/rdparser_app.py_destroy,1.0,0,0,[],[]
/app/rdparser_app.py_edit_grammar,1.0,0,0,[],[]
/app/rdparser_app.py_edit_sentence,1.0,0,0,[],[]
/app/rdparser_app.py_expand,1.0,0,0,[],[]
/app/rdparser_app.py_help,1.0,0,0,[],[]
/app/rdparser_app.py_mainloop,1.0,0,0,[],[]
/app/rdparser_app.py_match,1.0,0,0,[],[]
/app/rdparser_app.py_postscript,1.0,0,0,[],[]
/app/rdparser_app.py_reset,1.0,0,0,[],[]
/app/rdparser_app.py_resize,1.0,0,0,[],[]
/app/rdparser_app.py_set_grammar,1.0,0,0,[],[]
/app/rdparser_app.py_set_sentence,1.0,0,0,[],[]
/app/rdparser_app.py_step,1.0,0,0,[],[]
/app/srparser_app.py___init__,1.0,0,0,[],[]
/app/srparser_app.py__animate_reduce,1.0,0,0,[],[]
/app/srparser_app.py__animate_reduce_frame,1.0,0,0,[],[]
/app/srparser_app.py__animate_shift,1.0,0,0,[],[]
/app/srparser_app.py__animate_shift_frame,1.0,0,0,[],[]
/app/srparser_app.py__clear_hover,1.0,0,0,[],[]
/app/srparser_app.py__draw_stack_top,1.0,0,0,[],[]
/app/srparser_app.py__highlight_hover,1.0,0,0,[],[]
/app/srparser_app.py__highlight_productions,1.0,0,0,[],[]
/app/srparser_app.py__init_buttons,1.0,0,0,[],[]
/app/srparser_app.py__init_canvas,1.0,0,0,[],[]
/app/srparser_app.py__init_feedback,1.0,0,0,[],[]
/app/srparser_app.py__init_fonts,1.0,0,0,[],[]
/app/srparser_app.py__init_grammar,1.0,0,0,[],[]
/app/srparser_app.py__init_menubar,1.0,0,0,[],[]
/app/srparser_app.py__popup_reduce,1.0,0,0,[],[]
/app/srparser_app.py__prodlist_select,1.0,0,0,[],[]
/app/srparser_app.py__redraw,1.0,0,0,[],[]
/app/srparser_app.py__toggle_grammar,1.0,0,0,[],[]
/app/srparser_app.py_about,1.0,0,0,[],[]
/app/srparser_app.py_app,1.0,0,0,[],[]
/app/srparser_app.py_destroy,1.0,0,0,[],[]
/app/srparser_app.py_drag_shift,1.0,0,0,[],[]
/app/srparser_app.py_edit_grammar,1.0,0,0,[],[]
/app/srparser_app.py_edit_sentence,1.0,0,0,[],[]
/app/srparser_app.py_help,1.0,0,0,[],[]
/app/srparser_app.py_mainloop,1.0,0,0,[],[]
/app/srparser_app.py_postscript,1.0,0,0,[],[]
/app/srparser_app.py_reduce,1.0,0,0,[],[]
/app/srparser_app.py_reset,1.0,0,0,[],[]
/app/srparser_app.py_resize,1.0,0,0,[],[]
/app/srparser_app.py_set_grammar,1.0,0,0,[],[]
/app/srparser_app.py_set_sentence,1.0,0,0,[],[]
/app/srparser_app.py_shift,1.0,0,0,[],[]
/app/srparser_app.py_step,1.0,0,0,[],[]
/app/srparser_app.py_undo,1.0,0,0,[],[]
/app/wordfreq_app.py_app,1.0,0,0,[],[]
/app/wordfreq_app.py_plot_word_freq_dist,1.0,0,0,[],[]
/app/wordnet_app.py___init__,1.0,0,0,[],[]
/app/wordnet_app.py__abbc,1.0,0,0,[],[]
/app/wordnet_app.py__bold,1.0,0,0,[],[]
/app/wordnet_app.py__center,1.0,0,0,[],[]
/app/wordnet_app.py__collect_all_synsets,1.0,0,0,[],[]
/app/wordnet_app.py__collect_one_synset,1.0,0,0,[],[]
/app/wordnet_app.py__get_synset,1.0,0,0,[],[]
/app/wordnet_app.py__hlev,1.0,0,0,[],[]
/app/wordnet_app.py__italic,1.0,0,0,[],[]
/app/wordnet_app.py__li,1.0,0,0,[],[]
/app/wordnet_app.py__pos_match,1.0,0,0,[],[]
/app/wordnet_app.py__pos_tuples,1.0,0,0,[],[]
/app/wordnet_app.py__synset_relations,1.0,0,0,[],[]
/app/wordnet_app.py__ul,1.0,0,0,[],[]
/app/wordnet_app.py_app,1.0,0,0,[],[]
/app/wordnet_app.py_decode,1.0,0,0,[],[]
/app/wordnet_app.py_do_GET,1.0,0,0,[],[]
/app/wordnet_app.py_do_HEAD,1.0,0,0,[],[]
/app/wordnet_app.py_encode,1.0,0,0,[],[]
/app/wordnet_app.py_find_class,1.0,0,0,[],[]
/app/wordnet_app.py_flattern,1.0,0,0,[],[]
/app/wordnet_app.py_format_lemma,1.0,0,0,[],[]
/app/wordnet_app.py_get_static_index_page,1.0,0,0,[],[]
/app/wordnet_app.py_get_static_page_by_path,1.0,0,0,[],[]
/app/wordnet_app.py_get_static_upper_page,1.0,0,0,[],[]
/app/wordnet_app.py_get_static_web_help_page,1.0,0,0,[],[]
/app/wordnet_app.py_get_static_welcome_message,1.0,0,0,[],[]
/app/wordnet_app.py_get_unique_counter_from_url,1.0,0,0,[],[]
/app/wordnet_app.py_lemma_property,1.0,0,0,[],[]
/app/wordnet_app.py_log_message,1.0,0,0,[],[]
/app/wordnet_app.py_make_lookup_link,1.0,0,0,[],[]
/app/wordnet_app.py_make_synset_html,1.0,0,0,[],[]
/app/wordnet_app.py_page_from_href,1.0,0,0,[],[]
/app/wordnet_app.py_page_from_reference,1.0,0,0,[],[]
/app/wordnet_app.py_page_from_word,1.0,0,0,[],[]
/app/wordnet_app.py_pg,1.0,0,0,[],[]
/app/wordnet_app.py_rebuild_tree,1.0,0,0,[],[]
/app/wordnet_app.py_relation_html,1.0,0,0,[],[]
/app/wordnet_app.py_run,1.0,0,0,[],[]
/app/wordnet_app.py_send_head,1.0,0,0,[],[]
/app/wordnet_app.py_startBrowser,1.0,0,0,[],[]
/app/wordnet_app.py_toggle_synset,1.0,0,0,[],[]
/app/wordnet_app.py_toggle_synset_relation,1.0,0,0,[],[]
/app/wordnet_app.py_usage,1.0,0,0,[],[]
/app/wordnet_app.py_wnb,1.0,0,0,[],[]
/book.py_sents,1.0,0,0,[],[]
/book.py_texts,1.0,0,0,[],[]
/ccg/api.py___eq__,1.0,0,0,[],[]
/ccg/api.py___hash__,1.0,0,0,[],[]
/ccg/api.py___init__,1.0,0,0,[],[]
/ccg/api.py___lt__,1.0,0,0,[],[]
/ccg/api.py___ne__,1.0,0,0,[],[]
/ccg/api.py___neg__,1.0,0,0,[],[]
/ccg/api.py___str__,1.0,0,0,[],[]
/ccg/api.py_arg,1.0,0,0,[],[]
/ccg/api.py_can_compose,1.0,0,0,[],[]
/ccg/api.py_can_cross,1.0,0,0,[],[]
/ccg/api.py_can_unify,1.0,0,0,[],[]
/ccg/api.py_categ,1.0,0,0,[],[]
/ccg/api.py_dir,1.0,0,0,[],[]
/ccg/api.py_id,1.0,0,0,[],[]
/ccg/api.py_is_backward,1.0,0,0,[],[]
/ccg/api.py_is_forward,1.0,0,0,[],[]
/ccg/api.py_is_function,1.0,0,0,[],[]
/ccg/api.py_is_primitive,1.0,0,0,[],[]
/ccg/api.py_is_var,1.0,0,0,[],[]
/ccg/api.py_is_variable,1.0,0,0,[],[]
/ccg/api.py_new_id,1.0,0,0,[],[]
/ccg/api.py_res,1.0,0,0,[],[]
/ccg/api.py_reset_id,1.0,0,0,[],[]
/ccg/api.py_restrs,1.0,0,0,[],[]
/ccg/api.py_substitute,1.0,0,0,[],[]
/ccg/chart.py___init__,1.0,0,0,[],[]
/ccg/chart.py___str__,1.0,0,0,[],[]
/ccg/chart.py__trees,1.0,0,0,[],[]
/ccg/chart.py_apply,1.0,0,0,[],[]
/ccg/chart.py_categ,1.0,0,0,[],[]
/ccg/chart.py_compute_semantics,1.0,0,0,[],[]
/ccg/chart.py_demo,1.0,0,0,[],[]
/ccg/chart.py_dot,1.0,0,0,[],[]
/ccg/chart.py_end,1.0,0,0,[],[]
/ccg/chart.py_is_complete,1.0,0,0,[],[]
/ccg/chart.py_is_incomplete,1.0,0,0,[],[]
/ccg/chart.py_leaf,1.0,0,0,[],[]
/ccg/chart.py_length,1.0,0,0,[],[]
/ccg/chart.py_lexicon,1.0,0,0,[],[]
/ccg/chart.py_lhs,1.0,0,0,[],[]
/ccg/chart.py_nextsym,1.0,0,0,[],[]
/ccg/chart.py_parse,1.0,0,0,[],[]
/ccg/chart.py_printCCGDerivation,1.0,0,0,[],[]
/ccg/chart.py_printCCGTree,1.0,0,0,[],[]
/ccg/chart.py_rhs,1.0,0,0,[],[]
/ccg/chart.py_rule,1.0,0,0,[],[]
/ccg/chart.py_span,1.0,0,0,[],[]
/ccg/chart.py_start,1.0,0,0,[],[]
/ccg/chart.py_token,1.0,0,0,[],[]
/ccg/combinator.py___init__,1.0,0,0,[],[]
/ccg/combinator.py___str__,1.0,0,0,[],[]
/ccg/combinator.py_backwardBxConstraint,1.0,0,0,[],[]
/ccg/combinator.py_backwardOnly,1.0,0,0,[],[]
/ccg/combinator.py_backwardSxConstraint,1.0,0,0,[],[]
/ccg/combinator.py_backwardTConstraint,1.0,0,0,[],[]
/ccg/combinator.py_bothBackward,1.0,0,0,[],[]
/ccg/combinator.py_bothForward,1.0,0,0,[],[]
/ccg/combinator.py_can_combine,1.0,0,0,[],[]
/ccg/combinator.py_combine,1.0,0,0,[],[]
/ccg/combinator.py_crossedDirs,1.0,0,0,[],[]
/ccg/combinator.py_forwardOnly,1.0,0,0,[],[]
/ccg/combinator.py_forwardSConstraint,1.0,0,0,[],[]
/ccg/combinator.py_forwardTConstraint,1.0,0,0,[],[]
/ccg/combinator.py_innermostFunction,1.0,0,0,[],[]
/ccg/lexicon.py___cmp__,1.0,0,0,[],[]
/ccg/lexicon.py___init__,1.0,0,0,[],[]
/ccg/lexicon.py___str__,1.0,0,0,[],[]
/ccg/lexicon.py_augParseCategory,1.0,0,0,[],[]
/ccg/lexicon.py_categ,1.0,0,0,[],[]
/ccg/lexicon.py_categories,1.0,0,0,[],[]
/ccg/lexicon.py_fromstring,1.0,0,0,[],[]
/ccg/lexicon.py_matchBrackets,1.0,0,0,[],[]
/ccg/lexicon.py_nextCategory,1.0,0,0,[],[]
/ccg/lexicon.py_parseApplication,1.0,0,0,[],[]
/ccg/lexicon.py_parseLexicon,1.0,0,0,[],[]
/ccg/lexicon.py_parsePrimitiveCategory,1.0,0,0,[],[]
/ccg/lexicon.py_parseSubscripts,1.0,0,0,[],[]
/ccg/lexicon.py_semantics,1.0,0,0,[],[]
/ccg/lexicon.py_start,1.0,0,0,[],[]
/ccg/logic.py_compute_function_semantics,1.0,0,0,[],[]
/ccg/logic.py_compute_type_raised_semantics,1.0,0,0,[],[]
/chat/__init__.py_chatbots,1.0,0,0,[],[]
/chat/eliza.py_demo,1.0,0,0,[],[]
/chat/eliza.py_eliza_chat,1.0,0,0,[],[]
/chat/iesha.py_demo,1.0,0,0,[],[]
/chat/iesha.py_iesha_chat,1.0,0,0,[],[]
/chat/rude.py_demo,1.0,0,0,[],[]
/chat/rude.py_rude_chat,1.0,0,0,[],[]
/chat/suntsu.py_demo,1.0,0,0,[],[]
